A-01-01,We have a malfunction.,‘indina mushkeeleh v shaghleh,عندنا مشكله ف شغله.
N-12-13,Turn to the left.,veeRee i’la eydak il ‘asReeyeh,فيري أعل أيدك العسريه.
N-12-14,About face.,taghyeeR movaazhe,تغيير مفاجئ.
N-12-15,Above,vog,فوقٌ
N-12-16,After,‘aagib,عاكٌب
N-12-17,Step Back.,iRzha’ il lowRa,أرجع اللورَ.
N-12-18,Behind,oRa,أورَ
N-12-19,Before,saabig,سابكٌ
N-12-20,Between,bayn,بين
N-12-21,Coordinates,iHdaatheeyaat,إحداثيات
N-12-22,Degrees,daRazhaat,درجات
N-12-23,Down,it taHit,التحت
N-12-24,East,shaRg,شرقٌ
N-12-25,Far,ib’eed,أبعيد
N-12-26,In front of,gidaam,قدام
N-12-27,Latitude,KhaT il ‘iRiDh,خط العرظ
N-12-28,Left,il ‘asRee,العسري
N-12-29,Longitude,KhaT iT Tool,خط أطولْ
N-12-30,My position is ___.,balee howa ___,بلي هو .___
N-12-31,Near,igRayeb,أقٌريب
N-12-32,North,tel,تلْ
N-12-33,Northeast,tel shaRg,تل-شرقٌ
N-12-34,Northwest,tel saaHil,تلْ-ساحل
N-12-35,Over,i’la / vog,إعلى / فوقٌ
N-12-36,Past,‘aagib / lowRa,عاكب / لورا
N-12-37,Right,il ‘aRbee,العربي
N-12-38,Left,,
N-12-39,Southeast,gibleh shaRg,كٌبله-شرقٌ
N-12-40,Southwest,gibleh saaHil,كٌبله-ساحل
N-12-41,Straight ahead,i’la Tool,أعل طولْ
N-12-42,Under,taHit,تحت
N-12-43,Up,vog,فوقٌ
N-12-44,West,saaHil,ساحل
N-13-01,How many others?,kam awKhaR minhom?,كم اوخر منهمْ؟
N-13-02,0 Zero,SiviR,صفر
N-13-03,1 One,waaHid,واحد
N-13-04,2 Two,ithnayn,اثنين
N-13-05,3 Three,ithlaatheh,أثلاثه
N-13-06,4 Four,aRba’a,أربعه
N-13-07,5 Five,Khamseh,خمسه
N-13-08,6 Six,siteh,سته
N-13-09,7 Seven,sab’a,سبعه
N-13-10,8 Eight,ithmaanyeh,ثمانيه
N-13-11,9 Nine,tis’a,تسعه
N-13-12,10 Ten,‘ashRah,عشره
N-13-13,11 Eleven,ihdaa’ish,أهداعش
N-13-14,12 Twelve,ithna’ish,أثنعش
N-13-15,13 Thirteen,ithliTa’ish,أثلطعش
N-13-16,14 Fourteen,aRba’Ta’ish,أربعطعش
N-13-17,15 Fifteen,iKhmesTa’ish,أخمسطعش
N-13-18,16 Sixteen,sitTa’ish,ستطعش
N-13-19,17 Seventeen,isba’Ta’ish,أسبعطعش
N-13-20,18 Eighteen,ithmenTa’ish,أثمنطعش
N-13-21,19 Nineteen,itsa’Ta’ish,أتسعطعش
N-13-22,20 Twenty,‘ishReen,عشرين
N-13-23,21 Twenty one,waaHid w ‘ishReen,واحد و عشرین
N-13-24,22 Twenty two,ithnayn w ‘ishReen,اثنین و عشرین
N-13-25,30 Thirty,ithlaatheen,أثلاثين
N-13-26,40 Forty,aRib’een,أربعين
N-13-27,50 Fifty,Khamseen,خمسين
N-13-28,60 Sixty,siteen,ستين
N-13-29,70 Seventy,sab’een,سبعين
N-13-30,80 Eighty,ithmaaneen,أثمانين
N-13-31,90 Ninety,tis’een,تسعين
N-13-32,100 One hundred,meeyeh,ميه
N-13-33,141 One hundred and forty one,meeyeh w waaHid w aRib’een,میه وواحد وأربعين
N-13-34,200 Two hundred,meetayn,میتین
N-13-35,250 Two hundred and fifty,meetayn w Khamseen,میتین و خمسين
N-13-36,"1,000 One thousand",aliv,ألفْ
N-13-37,"1,400 One thousand four hundred",aliv w aRba’ meeyeh,ألفْ و اربع میه
N-13-38,"2,000 Two thousand",alvayn,الفین
N-13-39,"2,003 Two thousand and three",alvayn w thlaatheh,الفین و ثلاثه
N-13-40,A thousand rifles,aliv bondiqeeyeh,ألفْ بندقیة
N-13-41,A hundred pistols,aliv madva’,ألفْ مدفع
N-13-42,Twenty tanks,‘ishReen dabaabeh,عشرین دبابه
N-13-43,Forty cars,aRib’een wateh,أربعين وته
N-13-44,One thousand warriors,aliv moHaaRib,ألفْ محارب
N-13-45,One hundred platoons,meet viRqah,میت فرقه
N-13-46,One hundred soldiers,meet SandRee,میت صندری
N-13-47,Twenty policemen,‘ishReen shoRTee,عشرین شرطی
N-13-48,Forty ships,aRib’een saveeneh,أربعين سفینه
N-13-49,"10,000 Ten Thousand",‘shaR talaav,أعشرْت ألاف
N-13-50,"100,000 One Hundred Thousand",meet aliv,مية ألف
N-13-51,"1,000,000 One Million",milyoon,مليون
N-13-52,Plus,zaayid,زايد
N-13-53,Minus,naagis,ناقص
N-13-54,Less than,,
N-13-55,More than,akthaR (min),أكثر (من)
N-13-56,Approximately,igRayib min,أقَريب من
N-13-57,First,lawal,لوَل
N-13-58,Second,ithaanee,الثاني
N-13-59,Third,thaalith,الثالث
N-14-01,Sunday,il Had,ألْحد
N-14-02,Monday,lithnayn,لثنين
N-14-03,Tuesday,ithlaatheh,أثلاثه
N-14-04,Wednesday,laRab’a,لربعه
N-14-05,Thursday,laKhmees,لخميس
N-14-06,Friday,il zhamoo’a,الجموعه
N-14-07,Saturday,is sabit,السبت
N-14-08,Yesterday,yaamis,يامس
N-14-09,Today,il yoom,أليوم
N-14-10,Tomorrow,iS SobiH,أصبحْ
N-14-11,Day,inhaaR,أنهار
N-14-12,Night,,
N-14-13,Week,isboo’,أسبوع
N-14-14,Month,ish-haR,أشهر
N-14-15,Year,‘aam,عام
N-14-16,Second,segond,سكُوندْ
N-14-17,Minute,daqeeqa,دقيقه
N-14-18,Hour,saa’a,ساعه
N-14-19,Morning,iSbaaH,أصباح
N-14-20,Evening,il layl,ألليل
N-14-21,Noon,iThihiR,الظهرْ
N-14-22,Midnight,minwee,منوي
N-14-23,Now,ThaRk,ظركْ
N-14-24,Later,waqit oKhaR,وقت أوخرْ
P-01-01,Please wait for an interpreter.,Haanee il mutaRzhim min vaDhlak,حاني المترجم من فضلك.
P-01-02,Please turn off your camera.,iTfee moSawiRtak min vaDhlak,أطفي مصورتك من فضلك.
P-01-03,Please turn off your recorder.,iTfee mosazhiltak min vaDhlak,أطفي مسجلتك من فضلك.
P-01-04,Here is a copy of our ground rules.,Raa’ee nisKha min il qawaa’id il asaaseeyeh,راعي نسُخه من القواعد الأساسيه.
P-01-05,Sign here if you agree to follow the ground rules.,waqi’ hon il ‘idt gaabil tiHtaRim il qawaa’id il asaaseeyeh,وقع هونْ إلا عدتْ كٌابلْ تحترمْ القواعد الاساسيه.
P-01-06,This is not the public affairs office.,haaTha maaho maktab ish sho-oon il ‘aameh,هاذَ ماهو مكتبْ الشؤون العامه.
P-01-07,I am not an official spokesperson.,anaa maanee in naaTiq iR Rasmee,أنا ماني الناطق الرسمي.
P-01-08,He does not wish to give an interview.,maa haamo to’adel im’aah muqaabaleh,ما هامو تعُدل أمعاهْ مقابله.
P-01-09,She does not wish to give an interview.,maa haamheh to’adel im’aaha muqaabaleh,ما هامهَ تعُدل أمعاهَ مقابله.
P-01-10,Do not take photos here.,laa tagbaTh SooRa hon,لا تكٌبظ صوره هونْ.
P-01-11,Do not take videos here.,laa ta’adel veedyohaat hon,لا تعدلْ فيديوهات هونْ.
P-01-12,Do not take photos of this place.,laa tagbaTh SooRa min Thee liblaaSa,لا تكٌبظ صوره من ذي لبلاصه.
P-01-13,Do not take videos of this place.,laa it’adel veedyohaat v Thee liblaaSa,لا تعدلْ فيديوهات ف ذي لبلاصه.
P-01-14,Do not take photos of this piece of equipment.,laa tagbaTh SooRa min Thee il aaleh,لا تكٌبظ صوره من ذي الآله.
P-01-15,Do not take videos of this piece of equipment.,laa tagbaTh veedyohaat min Thee il aaleh,لا تكٌبظ فيديوهات من ذي الآله.
P-01-16,You cannot enter this area now.,maa itgid itKhush Thee il manTaqa ThaRk,ما تكٌد أتخش ذي المنطقه ظركْ.
P-01-17,"For security reasons, I cannot address this question.",il asbaab amneeyeh maa ingid inzhaawib ‘ala haaTha is soo-aal,ألأسباب أمنيه ما انكٌد أنجاوب أعلَ هاذ السؤالْ.
P-01-18,I cannot address that question until the investigation is finished.,maa ingid inzhaawib i’la is soo-aal shee maaho elayn yawva it taHqeeq,ما أنكٌد أنجاوب أعلَ السؤال شي ماهُ إلين يوفَ التحقيق.
P-01-19,We do not discuss personnel or equipment strength with the media.,niHna maa in naaqsho il qowah wala qowit il aaleh ma’a wasaa-il il i’laam,نحن ما أناقشو القوه و للَ قوة الآله مع وسائل الإعلامْ.
P-01-20,We do not discuss future operations with the media.,niHna maa in naaqsho mashaaRee’ ilee laahee in’adlo vee il mustaqbal ma’a wasaa-il il i’laam,نحن ما أناقشو مشاريع أللي لاهِ أنعدلو في المستقبل أمع وسائل الإعلام.
P-01-21,We do not discuss nuclear operations with the media.,niHna maa in naaqsho il KhuTaT in nawaweeyeh ma’a wasaa-il il i’laam,نحن ما أناقشو الخطط النوويه مع وسائل الإعلامْ.
P-01-22,We do not discuss chemical operations with the media.,niHna maa in naaqsho il KhuTaT il keemyaaweeyeh ma’a wasaa-il il i’laam,نحن ما أناقشو الخطط الكيمياويه مع وسائل الإعلامْ.
P-01-23,We do not discuss biological operations with the media.,niHna maa in naaqsho il KhuTaT il beeloozheeyeh ma’a wasaa-il il i’laam,نحن ما أناقشو الخطط البيولوجيه مع وسائل الإعلامْ.
P-01-24,We do not have information on this subject.,maa ‘indina ma’loomaat ‘an haaTha il mawDhoo’,ما عندنَ معلومات عن هاذَ الموضوع.
P-01-25,Names cannot be released until victims’ relatives are notified.,maa ingido ingoolo asaamee iDh DhaHaaya shee maaho na’almo ahaaleehom,ما أنكٌدو أنقٌولو أسامي الضحايا شي ماهو نعلمو أهاليهمْ.
P-02-01,This is the ___ public affairs office.,haaTha ___ il maktab ish sho-oon il ‘aameh,هاذَ ___ المكتب الشؤون العامه.
P-02-02,This is not the public affairs office.,haaTha maaho maktab ish sho-oon il ‘aameh,هاذَ ماهو مكتب الشؤون العامه.
P-02-03,What is your name?,inta ismak?,أنت اسمكْ؟
P-02-04,What media organization do you represent?,inta itmathil ay mo- asaseh i’laameeyeh?,أنت أتمثل أي مؤسسه إعلاميه؟
P-02-05,Where is your organization based?,waynhoweh maqaR mo-asastak?,وينهو مقر مؤسستك؟
P-02-06,What is your publication?,shinho manshoRak?,شنهو منشورك؟
P-02-07,What is your program?,,
P-02-08,What is the subject of this article?,shinho mawDhoo’ haaTha il maqaal?,شنهو موضوع هاذَ المقالْ؟
P-02-09,What is your question?,shinho soo-aalek?,شنهو سؤالكْ؟
P-02-10,Could you please ask the question in a different way?,itgid taTRaH is soo-aal ibTaReeqeh uKhRa min vaDhlak?,أتكدْ تطرح السؤال بطريقه أخره من فضلكْ؟
P-02-11,Could you please use simpler language?,itgid tistaKhdem logha absaT?,أتكٌد تستخدم لوغه ابسط؟
P-02-12,What is your deadline?,shinho teezhaalak?,شنهو تِجالكْ؟
P-02-13,Tomorrow,iSubeH,أصبح
P-02-14,In two days,v yawmayn,ف يومين
P-02-15,In three days,v ithlet teeyaam,ف أثلت ايام
P-02-16,Next week,isboo’ il zhaay,أسبوع ألجايْ
P-02-17,Next month,shahaR il zhaay,أشهر الجايْ
P-02-18,What is your phone number?,shinho Raqim telefonak?,شنهو رقم تلفونكْ؟
P-02-19,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10","waaHid, ithnayn, thalaatha, aRba’a, Khamsa, siteh, sab’a, thamaanyeh, tis’a, ‘ashRa",واحد، أثنين، أتلاته، أربعه، خمسه، سته، سبعه، أثمانيه، تسعه، عشره
P-02-20,Please say one number at a time.,gool Raqim waaHid kul maRa min vaDhlak,كٌول رقم واحد كل مره من فضلك.
P-02-21,A press release on that subject is being prepared.,mitbaaRkeen im’a taHDheeRaat il mo- tamaR iS SaHavee v Thaalik il mawDhoo’,متباركين مع تحضيرات أل مؤتمر صحفي ف ذالك الموضوعْ.
P-02-22,There will be a press conference on that subject.,idoR yo’adal mo- tamaR SaHavee ‘an Thaalik il mawDhoo’,إدور يعُدل مؤتمر صحفي عن ذاك الموضوع.
P-02-23,The time for the press release has not been decided yet.,waqit il mo-tamaR iS SaHavee maavaat uHaded,وقت المؤتمر الصحفي مافات أحددْ.
P-03-01,Wear this badge where it can be seen.,deeR Thee baadg v iblaaSa tinshaav minha,دير ذي بادجْ ف أبلاصه تنشاف منها.
P-03-02,Leave your camera with this person.,Khalee moSawiRtak ‘and Tha imnaadim,خلي مصورتك عند ذ أمنادمْ.
P-03-03,Leave your cell phone with this person.,Khalee telefonak ‘and Tha imnaadim,خلي تلفونك عند ذ أمنادمْ.
P-03-04,I am your escort.,anaa howa gaaRd koRak,أنا هو كٌارد أكوركْ.
P-03-05,He is your escort.,howa gaaRd koRak,هو كٌارد اكوركْ.
P-03-06,She is your escort.,heeyeh gaaRd koRak,هي كٌارد أكورك.
P-03-07,Stay within ___ meters of me at all times.,ibqa v ___ maTRaat minee vee il waqt kaamil,أبقٌ ف ___ ميطرات مني في الوقت كاملْ.
P-03-08,Follow her.,itlibha,أتلبها.
P-03-09,Follow him.,itilbo,أتلبو.
P-03-10,Follow me.,itlibnee,أتلبني.
P-03-11,Follow them.,itlibhom,أتلبهمْ.
P-03-12,You will ride with me in that vehicle.,laa taRkab im’aayeh v Thee il wateh,لا تركب أمعايَ ف ذي ألوته.
P-03-13,You will ride with us in this vehicle.,laa taRkab im’aaneh v Thee il wateh,لا تركب أمعانَ ف ذي ألوته.
P-03-14,You will ride with him in that vehicle.,laa taRkab im’aaho v Thee il wateh,لا تركب أمعاهْ ف ذي ألوته.
P-03-15,You will ride with her.,laahee taRkab im’aahaa,لاهِ تركب أمعاها.
P-03-16,You will ride with them.,laahee taRkab im’aahom,لاهِ تركب أمعاهمْ.
P-03-17,Keep your helmet on.,Khalee i’layk kaaSkak,خلي أعليك كٌاصكْک.
P-03-18,Keep your seat belt on.,Khalee i’layk saynteeRak,خلي أعليك سينتيرک.
P-03-19,Keep the window closed.,Khalee id dafeh muRagbeh,خلي الدفه مُركٌبه.
P-04-01,I do not wish to give an interview.,maa haamnee it’adlo im’aaya muqaabaleh,ماهامني تعُدل أمعايَ مقابله.
P-04-02,He does not wish to give an interview.,maa haamo it’adlo im’aah muqaabaleh,ماهامو تعُدل أمعاهْ مقابله.
P-04-03,She does not wish to give an interview.,maa haamha it’adlo im’aaha muqaabaleh,ماهامها تعُدل أمعاها مقابله.
P-04-04,I am not qualified to answer that question.,anaa maanee moo- ahel inzhaawib ‘ala haaTha is soo-aal,أنا ماني مؤهل أنجاوبْ أعلَ هاذ السؤال.
P-04-05,She is not qualified to answer that question.,heeyeh maahee moo- ahaleh itzhaawib ‘ala haaTha is soo-aal,هي ماهِ مؤهله أتجاوبْ أعلَ هاذ السؤال.
P-04-06,He is not qualified to answer that question.,howa maaho moo-ahel eezhaawib ‘ala haaTha is soo-aal,هو ماهو مؤهلْ أيجاوبْ أعلَ هاذ السؤال.
P-04-07,He does not want to answer that question.,howa maahamoo eezhaawib i’la Thaak is soo-aal,هو ماهمو أيجاوبْ أعلَ ذاك السؤال.
P-04-08,She does not want to answer that question.,heeyeh maahaamha itzhaawib i’la Thaak is soo-aal,هي ماهامها أتجاوبْ أعل ذاك السؤالْ.
P-04-09,I will not answer this question.,anaa maanee laahee inzhaawib a’la Tha is soo-aal,أنا ماني لاهِ أنجاوبْ أعل ذ السؤالْ.
P-04-10,I have no answer at this time.,maa ‘indee izhwaab haaTha il waqit,ماعندي جواب هاذ الوقتْ.
P-04-11,I would like to stop this interview.,nibqee inwafee Thee il muqaabaleh,نبقي أنوفي ذي المقابله.
P-04-12,She would like to stop this interview.,heeyeh tibqee itwafee Thee il muqaabaleh,هي تبقي أتوفي ذي المقابله.
P-04-13,He would like to stop this interview.,howa yibqee yewafee Thee il muqaabaleh,هو يبقي أيوفي ذي المقابله.
P-04-14,No comment.,maaveeh ta’leeq,مافيه تعليقْ.
P-04-15,Can you please ask the question in simpler language?,itgid taTRaH is soo-aal ib logha absaT min vaDhlak?,أتكٌدْ تطرح السؤال ب لوغه أبسط من فضلكْ؟
P-04-16,This interview is over.,il muqaabaleh oovaat,المقابله أوفاتْ.
P-05-01,___ will be here soon.,___ laahee izhee ThaRk,___ لاهِ إجي ظركْ.
P-05-02,I will call on you to speak.,indoR in’ayiTlak titkalam,أندور أنعيطلك تتكلمْ.
P-05-03,He will call on you to speak.,howa idoR ee’ayiTlak titkalam,هو إدور إيعيطلك تتكلمْ.
P-05-04,She will call on you to speak.,heeyeh idoR it’ayiTlak titkalam,هي أدور أتعيطلك تتكلمْ.
P-05-05,Please ask only one question each time you are called on.,min vaDhlak tam kul maRa wa ‘ayaTlak feeha aTRaH ilaa soo- aal waaHid,من فضلك تمْ كل مره وأعيط لك فیها أطرح ألا سؤال واحدْ.
P-05-06,You may ask one legitimate follow-up question per turn.,itgid itsawal soo-aal ma’qool o motaabi’ kul maRa,أتكٌد أتسول سؤال معقول ومتابع كل مره.
P-05-07,Please wait for the interpreter to translate your question.,Haanee il mutaRzhim min vaDhlak itaRzhim soo-aalak,حاني المترجم من فضلك إترجم سؤالك.
P-05-08,Please wait for the interpreter to translate your answer.,Haanee il mutaRzhim min vaDhlak itaRzhim zhawaabak,حاني المترجم من فضلك إترجم أجوابكْ.
P-05-09,That is a separate question; there may be time to address it later.,haaTha is soo-aal awKhaR maa’indo ‘alaaqa ibTha ingido nizhibRo lo waqit ‘aagib Tha inzhaawbo i’leeh,هاذ السؤال أوخر ماعندو علاقه بذا أنكٌدو نجبرو لو وقت عاكٌب ذَ أنجاوبو أعليهْ.
P-05-10,We ran out of time.,maateh ‘indina il waqt,ماتَ عندنا الوقتْ.
P-05-11,"If he promised you information, be sure to give your contact information to ___.","ilaa ‘aad itwakif lak ib ma’loomaat, qaRish inak ta’Tee Raqim talefonak le ___",ألا عادْ أتوكف لك ب معلومات، قرشْ أنكْ تعطي رقم تلفونكْ ل .___
P-05-12,"If she promised you information, be sure to give your contact information to her.","laa ‘aadet itwakfet lak b ma’loomaat, qaRish inak ta’Teeha Raqam talefonak",ألا عادتْ أتوكفتْ لك ب معلومات، قرشْ أنكْ تعطيها رقم تلفونكْ.
P-05-13,"If I promised you information, be sure to give your contact information to me.","ilaa ‘adet itwakfit lak b ma’loomaat, qaRish inak ta’Teenee Raqam talefonak",ألا عدْتْ أتوكفت لك ب معلومات، قرشْ أنكْ تعطيني رقم تلفونكْ
